,Continent,ISO2,Area,Order,qq
153,Europe,VA,0.44,1.0,0.004329004329004329
135,Europe,MC,2.0,2.0,0.008658008658008658
155,Europe,GI,6.5,3.0,0.012987012987012988
224,Oceania,TK,12.0,4.0,0.017316017316017316
216,Oceania,NR,21.0,5.0,0.021645021645021644
226,Oceania,TV,26.0,6.0,0.025974025974025976
229,Oceania,NF,36.0,7.0,0.030303030303030304
230,Oceania,PN,47.0,8.0,0.03463203463203463
144,Europe,SM,61.0,9.0,0.03896103896103896
181,Americas,AI,91.0,10.0,0.04329004329004329
186,Americas,MS,102.0,11.0,0.047619047619047616
106,Asia,MO,115.3,12.0,0.05194805194805195
56,Africa,SH,122.0,13.0,0.05627705627705628
190,Americas,VG,151.0,14.0,0.06060606060606061
130,Europe,LI,160.0,15.0,0.06493506493506493
204,Americas,AW,180.0,16.0,0.06926406926406926
214,Oceania,MH,181.0,17.0,0.0735930735930736
207,Oceania,AS,199.0,18.0,0.07792207792207792
209,Oceania,CK,236.0,19.0,0.08225108225108226
187,Americas,PM,242.0,20.0,0.08658008658008658
219,Oceania,NU,260.0,21.0,0.09090909090909091
177,Americas,KN,261.0,22.0,0.09523809523809523
184,Americas,KY,264.0,23.0,0.09956709956709957
228,Oceania,WF,274.0,24.0,0.1038961038961039
82,Asia,MV,298.0,25.0,0.10822510822510822
133,Europe,MT,316.0,26.0,0.11255411255411256
170,Americas,GD,344.0,27.0,0.11688311688311688
191,Americas,VI,346.0,28.0,0.12121212121212122
57,Africa,YT,374.0,29.0,0.12554112554112554
179,Americas,VC,389.0,30.0,0.12987012987012986
163,Americas,BB,430.0,31.0,0.1341991341991342
161,Americas,AG,442.0,32.0,0.13852813852813853
220,Oceania,PW,459.0,33.0,0.14285714285714285
42,Africa,SC,459.0,33.0,0.14285714285714285
111,Europe,AD,468.0,34.0,0.1471861471861472
212,Oceania,GU,549.0,35.0,0.15151515151515152
156,Europe,IM,572.0,36.0,0.15584415584415584
178,Americas,LC,616.0,37.0,0.16017316017316016
215,Oceania,FM,702.0,38.0,0.1645021645021645
93,Asia,SG,728.0,39.0,0.16883116883116883
225,Oceania,TO,747.0,40.0,0.17316017316017315
167,Americas,DM,751.0,41.0,0.1774891774891775
61,Asia,BH,765.0,42.0,0.18181818181818182
213,Oceania,KI,811.0,43.0,0.18614718614718614
189,Americas,TC,948.0,44.0,0.19047619047619047
40,Africa,ST,964.0,45.0,0.19480519480519481
105,Asia,HK,1106.0,46.0,0.19913419913419914
185,Americas,MQ,1128.0,47.0,0.20346320346320346
154,Europe,FO,1393.0,48.0,0.2077922077922078
183,Americas,GP,1628.0,49.0,0.21212121212121213
33,Africa,MU,2040.0,50.0,0.21645021645021645
10,Africa,KM,2235.0,51.0,0.22077922077922077
55,Africa,RE,2511.0,52.0,0.22510822510822512
132,Europe,LU,2586.0,53.0,0.22943722943722944
222,Oceania,WS,2831.0,54.0,0.23376623376623376
7,Africa,CV,4033.0,55.0,0.23809523809523808
211,Oceania,PF,4167.0,56.0,0.24242424242424243
180,Americas,TT,5130.0,57.0,0.24675324675324675
64,Asia,BN,5765.0,58.0,0.2510822510822511
89,Asia,PS,6220.0,59.0,0.2554112554112554
188,Americas,PR,9104.0,60.0,0.2597402597402597
109,Europe,CY,9251.0,61.0,0.26406926406926406
67,Asia,CY,9251.0,61.0,0.26406926406926406
80,Asia,LB,10452.0,62.0,0.2683982683982684
174,Americas,JM,10991.0,63.0,0.2727272727272727
21,Africa,GM,11295.0,64.0,0.27705627705627706
91,Asia,QA,11586.0,65.0,0.2813852813852814
205,Americas,FK,12173.0,66.0,0.2857142857142857
227,Oceania,VU,12189.0,67.0,0.29004329004329005
136,Europe,ME,13812.0,68.0,0.2943722943722944
162,Americas,BS,13943.0,69.0,0.2987012987012987
107,Asia,TL,14874.0,70.0,0.30303030303030304
18,Africa,SZ,17364.0,71.0,0.30735930735930733
77,Asia,KW,17818.0,72.0,0.3116883116883117
210,Oceania,FJ,18272.0,73.0,0.31601731601731603
217,Oceania,NC,18575.0,74.0,0.3203463203463203
147,Europe,SI,20273.0,75.0,0.3246753246753247
73,Asia,IL,20770.0,76.0,0.329004329004329
169,Americas,SV,21041.0,77.0,0.3333333333333333
164,Americas,BZ,22966.0,78.0,0.33766233766233766
14,Africa,DJ,23200.0,79.0,0.341991341991342
138,Europe,MK,25713.0,80.0,0.3463203463203463
39,Africa,RW,26338.0,81.0,0.35064935064935066
172,Americas,HT,27750.0,82.0,0.354978354978355
5,Africa,BI,27834.0,83.0,0.3593073593073593
16,Africa,GQ,28051.0,84.0,0.36363636363636365
223,Oceania,SB,28450.0,85.0,0.36796536796536794
110,Europe,AL,28748.0,86.0,0.3722943722943723
59,Asia,AM,29743.0,87.0,0.37662337662337664
26,Africa,LS,30355.0,88.0,0.38095238095238093
114,Europe,BE,30528.0,89.0,0.3852813852813853
