,City,Country,Lat,Lng,Date,Cloudiness,Humidity,MAX Temp,Wind Speed
0,vaini,IN,15.34,74.49,07/20/19 09:15,75,88,300.15,4.1
1,yar-sale,RU,66.83,70.83,07/20/19 09:15,0,56,296.393,3.1
2,esperance,AU,-33.86,121.89,07/20/19 09:15,40,71,284.15,8.2
3,faya,SA,18.39,42.45,07/20/19 09:15,49,12,306.15,7.7
4,arraial do cabo,BR,-22.97,-42.02,07/20/19 09:11,40,64,294.15,8.2
5,djambala,CG,-2.55,14.76,07/20/19 09:15,98,43,301.693,1.43
6,ushuaia,AR,-54.81,-68.31,07/20/19 09:11,0,87,273.15,2.05
7,dikson,RU,73.51,80.55,07/20/19 09:15,100,85,283.793,6.29
8,albany,US,42.65,-73.75,07/20/19 09:15,75,66,304.82,2.6
9,pauini,BR,-7.71,-67.0,07/20/19 09:15,0,41,306.593,0.97
10,berezovka,RU,55.71,42.61,07/20/19 09:15,90,83,291.793,3.16
11,college,US,64.86,-147.8,07/20/19 09:15,90,87,286.48,3.1
12,atuona,PF,-9.8,-139.03,07/20/19 09:15,9,74,299.793,4.46
13,dunedin,NZ,-45.87,170.5,07/20/19 09:15,100,99,282.04,3.74
14,tuktoyaktuk,CA,69.44,-133.03,07/20/19 09:15,90,93,283.15,2.6
15,madison,US,43.07,-89.38,07/20/19 09:15,75,79,303.15,4.6
16,alim,CF,6.02,14.65,07/20/19 09:15,95,88,296.593,0.68
17,fereydun kenar,IR,36.69,52.52,07/20/19 09:15,0,58,305.15,4.1
18,barrow,AR,-38.31,-60.23,07/20/19 09:15,100,46,286.893,4.01
19,verkhoyansk,RU,67.55,133.39,07/20/19 09:15,100,50,281.993,2.0
20,ngunguru,NZ,-35.62,174.5,07/20/19 09:15,100,95,279.82,1.34
21,abu dhabi,AE,24.47,54.37,07/20/19 09:14,0,50,312.15,4.6
22,saveh,IR,35.02,50.36,07/20/19 09:15,0,6,307.993,5.42
23,busselton,AU,-33.64,115.35,07/20/19 09:15,75,87,287.04,11.55
24,rikitea,PF,-23.12,-134.97,07/20/19 09:15,100,58,292.193,4.0
25,port hawkesbury,CA,45.62,-61.36,07/20/19 09:15,1,73,300.37,5.1
26,saint-philippe,CA,45.36,-73.48,07/20/19 09:15,1,70,302.59,1.5
27,port elizabeth,US,39.31,-74.98,07/20/19 09:11,1,62,307.59,3.1
28,new norfolk,AU,-42.78,147.06,07/20/19 09:15,0,71,285.37,4.1
29,vila franca do campo,PT,37.72,-25.43,07/20/19 09:15,40,88,296.15,5.1
30,leo,BF,11.1,-2.1,07/20/19 09:15,51,42,305.793,0.66
31,qaanaaq,GL,77.48,-69.36,07/20/19 09:15,99,87,277.893,1.27
32,lavrentiya,RU,65.58,-170.99,07/20/19 09:15,100,86,280.593,2.34
33,mahebourg,MU,-20.41,57.7,07/20/19 09:15,40,73,296.15,6.7
34,sao joao da barra,BR,-21.64,-41.05,07/20/19 09:15,75,88,295.15,3.1
35,poum,MK,41.28,20.71,07/20/19 09:15,40,44,298.15,6.2
36,srimushnam,IN,11.4,79.42,07/20/19 09:15,72,62,303.193,4.63
37,nikolskoye,RU,59.7,30.79,07/20/19 09:15,40,68,294.15,6.0
38,hilo,US,19.71,-155.08,07/20/19 09:15,75,88,298.71,4.45
39,henties bay,NA,-22.12,14.28,07/20/19 09:15,0,63,292.04,2.68
40,north bend,US,43.41,-124.22,07/20/19 09:11,90,100,285.37,6.66
41,merauke,ID,-8.49,140.4,07/20/19 09:15,0,81,297.293,10.06
42,moree,AU,-29.46,149.84,07/20/19 09:15,0,42,282.59,4.6
43,chokurdakh,RU,70.62,147.9,07/20/19 09:15,1,61,280.093,7.5
44,butaritari,KI,3.07,172.79,07/20/19 09:15,3,68,302.193,3.14
45,hermanus,ZA,-34.42,19.24,07/20/19 09:16,99,69,287.59,3.13
46,port alfred,ZA,-33.59,26.89,07/20/19 09:16,97,83,283.71,3.13
47,bredasdorp,ZA,-34.53,20.04,07/20/19 09:16,66,66,285.93,3.1
48,souillac,FR,45.6,-0.6,07/20/19 09:16,90,54,300.93,4.6
49,paamiut,GL,61.99,-49.67,07/20/19 09:16,100,96,278.593,7.19
50,lasa,CY,34.92,32.53,07/20/19 09:16,20,70,302.15,8.2
51,show low,US,34.25,-110.03,07/20/19 09:12,1,17,297.04,5.1
52,hobart,AU,-42.88,147.33,07/20/19 09:12,0,71,285.37,4.1
53,mataura,NZ,-46.19,168.86,07/20/19 09:16,100,98,281.48,1.09
54,tessalit,ML,20.2,1.01,07/20/19 09:16,27,13,315.993,3.92
55,clyde river,CA,70.47,-68.59,07/20/19 09:16,75,81,282.15,3.1
56,cayenne,GF,4.94,-52.33,07/20/19 09:16,6,70,302.15,1.5
57,cabo san lucas,MX,22.89,-109.91,07/20/19 09:15,20,65,300.93,2.6
58,sulangan,PH,11.14,123.72,07/20/19 09:16,5,68,302.293,0.79
59,benguela,AO,-12.58,13.4,07/20/19 09:16,0,81,295.093,2.87
60,castro,CL,-42.48,-73.76,07/20/19 09:16,90,100,277.15,2.6
61,omboue,GA,-1.57,9.26,07/20/19 09:16,8,85,296.893,5.06
62,san carlos,NI,11.12,-84.78,07/20/19 09:16,82,1,296.48,8.05
63,sobolevo,RU,54.43,31.9,07/20/19 09:16,0,70,293.293,4.24
64,bluff,AU,-23.58,149.07,07/20/19 09:16,0,91,285.293,3.67
65,grindavik,IS,63.84,-22.43,07/20/19 09:16,40,59,290.15,6.2
66,puerto ayora,EC,-0.74,-90.35,07/20/19 09:11,75,83,295.15,5.1
67,hithadhoo,MV,-0.6,73.08,07/20/19 09:16,77,76,301.593,7.82
68,longyearbyen,NO,78.22,15.63,07/20/19 09:16,75,81,280.15,1.0
69,vanderhoof,CA,54.02,-124.02,07/20/19 09:14,97,72,284.893,1.11
70,carnarvon,ZA,-30.97,22.13,07/20/19 09:16,0,20,282.893,3.6
71,kaitangata,NZ,-46.28,169.85,07/20/19 09:16,100,89,283.15,0.89
72,gwadar,PK,25.12,62.33,07/20/19 09:16,0,76,301.593,5.15
73,cape town,ZA,-33.93,18.42,07/20/19 09:11,20,50,287.59,6.7
74,yellowknife,CA,62.45,-114.38,07/20/19 09:16,75,82,288.71,2.31
75,georgetown,GY,6.8,-58.16,07/20/19 09:13,90,100,296.15,1.0
76,namatanai,PG,-3.66,152.44,07/20/19 09:16,100,83,299.193,4.75
77,sisimiut,GL,66.94,-53.67,07/20/19 09:16,35,95,278.293,1.97
78,irmo,US,34.09,-81.18,07/20/19 09:11,20,69,303.71,3.1
79,fare,PF,-16.7,-151.02,07/20/19 09:16,49,76,297.793,6.27
80,vila,IT,45.18,8.4,07/20/19 09:16,40,45,305.93,3.1
81,punta arenas,CL,-53.16,-70.91,07/20/19 09:16,75,86,272.15,4.6
82,naze,NG,5.43,7.07,07/20/19 09:11,82,73,301.093,3.47
83,baiyin,CN,36.55,104.13,07/20/19 09:16,0,41,297.15,3.65
84,robertsport,LR,6.75,-11.37,07/20/19 09:16,100,88,297.993,3.57
85,kapaa,US,22.08,-159.32,07/20/19 09:16,90,88,299.15,9.3
86,airai,TL,-8.93,125.41,07/20/19 09:16,2,77,292.593,2.05
87,grand gaube,MU,-20.01,57.66,07/20/19 09:16,40,73,296.15,6.7
88,kidal,ML,18.44,1.41,07/20/19 09:16,69,28,310.293,7.59
89,verkhnyaya inta,RU,65.99,60.32,07/20/19 09:16,76,68,293.793,2.61
90,hasaki,JP,35.73,140.83,07/20/19 09:16,75,88,297.15,1.5
91,oriximina,BR,-1.77,-55.87,07/20/19 09:16,0,51,304.393,3.47
92,jamestown,AU,-33.21,138.6,07/20/19 09:16,25,63,284.293,4.24
93,kingman,US,35.19,-114.05,07/20/19 09:16,1,17,304.26,4.48
94,ilulissat,GL,69.22,-51.1,07/20/19 09:16,75,62,284.15,1.0
95,aykhal,RU,65.95,111.51,07/20/19 09:16,0,30,293.15,1.0
96,sur,OM,22.57,59.53,07/20/19 09:16,0,71,299.993,5.45
97,naftalan,AZ,40.5,46.82,07/20/19 09:16,40,30,310.15,9.3
98,severo-kurilsk,RU,50.68,156.12,07/20/19 09:16,95,97,280.893,4.01
99,japura,ID,-0.42,102.29,07/20/19 09:16,100,81,297.993,1.35
100,yelan,RU,50.95,43.74,07/20/19 09:16,29,31,301.48,2.24
101,guozhen,CN,29.3,113.14,07/20/19 09:16,31,76,300.693,1.18
102,laguna,BZ,16.17,-88.94,07/20/19 09:16,75,83,300.15,1.1
103,inhambane,MZ,-23.87,35.38,07/20/19 09:16,40,51,300.15,6.2
104,cassilandia,BR,-19.11,-51.73,07/20/19 09:16,14,34,299.393,4.61
105,tocopilla,CL,-22.09,-70.2,07/20/19 09:16,53,78,287.493,1.47
106,avarua,CK,-21.21,-159.78,07/20/19 09:11,5,88,292.15,1.0
107,talara,PE,-4.58,-81.27,07/20/19 09:14,0,290,290.15,7.2
108,kirakira,SB,-10.46,161.92,07/20/19 09:16,99,85,297.593,4.29
109,yeppoon,AU,-23.13,150.74,07/20/19 09:16,90,72,289.15,2.6
110,lompoc,US,34.64,-120.46,07/20/19 09:16,90,82,289.82,2.21
